,conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
0,1608975983096528897,Fri Dec 30 23:59:02 +0000 2022,0,inmendagri terbit susul cabut bijak laku batas giat masyarakat ppkm presiden,1608975983096528897,,,in,Indonesia,0,0,0,https://twitter.com/tauberitamedia/status/1608975983096528897,1520998271161831424,tauberitamedia
1,1608975761289121792,Fri Dec 30 23:58:09 +0000 2022,2,kemarin bijak ppkm cabut hingga sistem milu,1608975761289121792,,,in,NKRI,0,0,1,https://twitter.com/antaranews/status/1608975761289121792,18071520,antaranews
2,1608975421181431808,Fri Dec 30 23:56:48 +0000 2022,8,bijak absurd enggak feel arti laku diskriminasi rakyat sendiri,1608975421181431808,,,in,,0,0,2,https://twitter.com/taufik_q/status/1608975421181431808,175752154,taufik_q
3,1608975087327117313,Fri Dec 30 23:55:28 +0000 2022,26,presiden jokowi umum cabut bijak ppkm jokowi kata tak batas kerumun gera masyarakat kait corona,1608975087327117313,,,in,,1,7,16,https://twitter.com/detikcom/status/1608975087327117313,69183155,detikcom
4,1608974724490752002,Fri Dec 30 23:54:02 +0000 2022,0,presiden jokowi umum cabut bijak ppkm jokowi kata tak batas kerumun gera masyarakat kait corona,1608974724490752002,,,in,Indonesia,0,0,0,https://twitter.com/tauberitamedia/status/1608974724490752002,1520998271161831424,tauberitamedia
5,1608973111365611520,Fri Dec 30 23:47:37 +0000 2022,0,indikator tindakankebijakan perintah tepat pekaes ngebacot asal bunyi,1608973111365611520,,,in,,0,0,0,https://twitter.com/Adv_ERAT/status/1608973111365611520,609620003,Adv_ERAT
6,1608972713678495744,Fri Dec 30 23:46:02 +0000 2022,0,perintah resmi cabut bijak laku batas giat masyarakat ppkm jumat,1608972713678495744,,,in,Indonesia,0,0,0,https://twitter.com/tauberitamedia/status/1608972713678495744,1520998271161831424,tauberitamedia
7,1608972593704636416,Fri Dec 30 23:45:34 +0000 2022,15,perintah resmi cabut bijak laku batas giat masyarakat ppkm jumat,1608972593704636416,,,in,Jakarta,0,0,1,https://twitter.com/kompascom/status/1608972593704636416,23343960,kompascom
8,1608970193824542720,Fri Dec 30 23:36:02 +0000 2022,0,bijak car free night terap susul diri tujuh panggung hibur panjang jalan sudirmanthamrin,1608970193824542720,,,in,Indonesia,0,0,0,https://twitter.com/tauberitamedia/status/1608970193824542720,1520998271161831424,tauberitamedia
9,1608970094797025284,Fri Dec 30 23:35:38 +0000 2022,0,mau hilang subsidi malu pakai kasih bijak muter enggak jelas,1608970094797025284,,,in,"Bogoro, Nigeria",0,0,1,https://twitter.com/Pak_Dimas/status/1608970094797025284,65870480,Pak_Dimas
10,1608969696312979456,Fri Dec 30 23:34:03 +0000 2022,0,ikut alas presiden jokowi cabut bijak laku batas giat masyarakat ppkm,1608969696312979456,,,in,"Rangkasbitung, Indonesia",0,0,0,https://twitter.com/portal_lebak/status/1608969696312979456,1349394262136246273,portal_lebak
11,1608969053665918976,Fri Dec 30 23:31:30 +0000 2022,0,presiden jokowi resmi cabut bijak ppkm,1608969053665918976,,,in,Indonesia,0,0,0,https://twitter.com/BantengGirl/status/1608969053665918976,1275701898537041920,BantengGirl
12,1608967933623160833,Fri Dec 30 23:27:03 +0000 2022,1,situasi pandemi covid kendali perintah cabut bijak ppkm indonesia,1608967933623160833,,,in,NKRI,0,0,0,https://twitter.com/antaranews/status/1608967933623160833,18071520,antaranews
13,1608964158862786562,Fri Dec 30 23:12:03 +0000 2022,0,presiden jokowi resmi cabut bijak ppkm,1608964158862786562,,,in,,0,0,0,https://twitter.com/Kabar_sigercom/status/1608964158862786562,1379763252494618624,Kabar_sigercom
14,1608963969498382337,Fri Dec 30 23:11:18 +0000 2022,0,guru besar ipb kritisi bijak impor beras enggak masuk akal sakit tani,1608963969498382337,,,in,,0,0,0,https://twitter.com/malikah65367056/status/1608963969498382337,1606323413597163520,malikah65367056
15,1608963157124583425,Fri Dec 30 23:08:04 +0000 2022,0,kabar baik presiden jokowi cabut bijak ppkm mulai hari enggak perlu pakai masker,1608963157124583425,,,in,,0,0,0,https://twitter.com/HopsIndonesia/status/1608963157124583425,1200735790222888962,HopsIndonesia
16,1608962927138164736,Fri Dec 30 23:07:09 +0000 2022,1,hujung jokowi putus ppkm resmi henti bijak susul situasi covid nilai makin kendali apa ubah,1608962927138164736,,,in,Jakarta - Indonesia,0,0,0,https://twitter.com/detikHealth/status/1608962927138164736,104446991,detikHealth
17,1608879813389070338,Fri Dec 30 17:36:53 +0000 2022,0,presiden joko widodo jokowi sebut bijak gas rem buat indonesia sukses tangan pandemi covid kini jokowi resmi cabut laku batas giat masyarakat ppkm hitung hari jumat,1608879813389070338,https://pbs.twimg.com/media/FlPjpxJaYAMfkkk.jpg,,in,"Bogor, Jawa Barat",0,0,0,https://twitter.com/Ahmad_hendars/status/1608879813389070338,394090086,Ahmad_hendars
18,1608879396643049472,Fri Dec 30 17:35:14 +0000 2022,1,presiden jokowi umum perintah resmi cabut bijak ppkm lalu konferensi pers istana negara jakarta jumat desember putus sebut ambil timbang situasi pandemi makin kendali kaji dalam,1608879396643049472,https://pbs.twimg.com/media/FlPjSNBagAIHs2V.jpg,,in,"Kota Surabaya, Jawa Timur",0,1,0,https://twitter.com/Hadimakpul/status/1608879396643049472,1344913299788337154,Hadimakpul
19,1608879330318487552,Fri Dec 30 17:34:58 +0000 2022,0,perintah resmi umum cabut bijak laku batas giat masyarakat ppkm kendati ppkm cabut presiden ri joko widodo tegas perintah tetap salur bantu sosial bansos masyarakat,1608879330318487552,https://pbs.twimg.com/media/FlPjNqQagAEcxCY.jpg,,in,"Bogor, Jawa Barat",0,0,0,https://twitter.com/Ahmad_hendars/status/1608879330318487552,394090086,Ahmad_hendars
20,1608878357487431681,Fri Dec 30 17:31:06 +0000 2022,0,presiden jokowi umum cabut resmi bijak ppkm via kabartangsel,1608878357487431681,,,in,Tangerang Selatan,0,0,0,https://twitter.com/Kabar_Tangsel/status/1608878357487431681,546123555,Kabar_Tangsel
21,1608875129672458247,Fri Dec 30 17:18:17 +0000 2022,0,jokowi fokus enam bijak apbn,1608875129672458247,,,in,"Bali, Indonesia",0,0,0,https://twitter.com/dchaztil/status/1608875129672458247,1888309008,dchaztil
22,1608875075486502914,Fri Dec 30 17:18:04 +0000 2022,0,presiden jokowi resmi cabut bijak ppkm,1608875075486502914,,,in,"Bandung, Indonesia",0,0,0,https://twitter.com/SuryoBobby/status/1608875075486502914,981762740275396608,SuryoBobby
23,1608873410007896064,Fri Dec 30 17:11:27 +0000 2022,0,indonesia cabut status bijak batas sosial covid,1608873410007896064,,,in,"Washington, DC",0,0,0,https://twitter.com/BenarNewsID/status/1608873410007896064,3063826036,BenarNewsID
24,1608872057726697484,Fri Dec 30 17:06:04 +0000 2022,0,anggar besar rp miliar lebih buzzer perintah koar bijak aco tarif kayak jelata commuterline pajak andaanda lari kemari,1608872057726697484,https://pbs.twimg.com/media/FlPclzgaYAAGrZB.jpg,,in,"Tangerang Selatan, Banten",0,0,0,https://twitter.com/MS_LuBI5/status/1608872057726697484,1512253914087059457,MS_LuBI5
25,1608869587805966337,Fri Dec 30 16:56:15 +0000 2022,1,menteri koordinator bidang bangun manusia budaya menko pmk muhadjir effendy nyata perintah keluar bijak khusus antisipasi kerumun malam tahun baru jokowi,1608869587805966337,https://pbs.twimg.com/media/FlPaW9WaAAAkZA-.jpg,,in,,0,0,0,https://twitter.com/bujangkuh11/status/1608869587805966337,1312426952410591232,bujangkuh11
26,1608868800799309826,Fri Dec 30 16:53:08 +0000 2022,0,epidemiolog kritik putus jokowi cabut bijak ppkm,1608868800799309826,https://pbs.twimg.com/media/FlPZpcTaYAU0OPK.jpg,,in,"Yogyakarta, Indonesia",0,0,0,https://twitter.com/Harian_Jogja/status/1608868800799309826,118371948,Harian_Jogja
27,1608867287922249728,Fri Dec 30 16:47:07 +0000 2022,0,presiden jokowi resmi cabut bijak ppkm presiden ri joko widodo jokowi resmi cabut bijak laku batas giat masyarakat ppkm jumat,1608867287922249728,,,in,,0,0,0,https://twitter.com/SeptianNurfaja8/status/1608867287922249728,1322886670375550977,SeptianNurfaja8
28,1608866667148496898,Fri Dec 30 16:44:39 +0000 2022,0,ralat worst thing peringkat enggak jadi jamesgunn bijak jokowi seluruh jajar jauh lebih buruk apa presiden wong cilik,1608866667148496898,,,in,,0,0,0,https://twitter.com/dennynovandi/status/1608866667148496898,67161261,dennynovandi
29,1608865831743819776,Fri Dec 30 16:41:20 +0000 2022,0,sch huhhhh habis selesai ngerjain kompek capeknyaaa untung kejar trivia devaluasi bijak bank sentral lemah mata uang negeri,1608865831743819776,,,in,Paid Promote/ Partnership 👇🏻,0,0,0,https://twitter.com/schfess/status/1608865831743819776,1201673806156161025,schfess
30,1608864233332113411,Fri Dec 30 16:34:59 +0000 2022,1,kawasan puncak prediksi padat raya ganti malam tahun baru jumlah langkah siap salah satu laku bijak car free night malam bebas kendaran,1608864233332113411,,,in,"Palmerah, Jakarta",0,0,0,https://twitter.com/hariankompas/status/1608864233332113411,255866913,hariankompas
31,1608860506244415490,Fri Dec 30 16:20:10 +0000 2022,0,komitmen puan guna energi ramah lingkung pernah tunjuk lewat bijak guna mobil listrik delegasi p gelar gedung dpr ri senayan jakarta oktober lalu puan capres pdip,1608860506244415490,,,in,,0,0,0,https://twitter.com/TonoFuller/status/1608860506244415490,1597167833078673408,TonoFuller
32,1608860005851365378,Fri Dec 30 16:18:11 +0000 2022,4,perintah resmi cabut bijak ppkm mulai hari perintah resmi cabut bijak laku batas giat masyarakat ppkm kait pandemi covid presiden joko widodo umum lalu konferensi pers istana negara jakarta,1608860005851365378,https://pbs.twimg.com/media/FlPRoV-aYAADxcF.jpg,,in,"Kota Surabaya, Jawa Timur",0,1,0,https://twitter.com/Arekkampung5/status/1608860005851365378,1062144607692050437,Arekkampung5
33,1608859597410013187,Fri Dec 30 16:16:33 +0000 2022,0,meski bijak ppkm resmi cabut perintah minta seluruh masyarakat komponen bangsa tetap hatihati waspada,1608859597410013187,https://pbs.twimg.com/media/FlPRRSqacAUK4Ol.jpg,,in,,0,0,0,https://twitter.com/Mockingjacks_/status/1608859597410013187,609020935,Mockingjacks_
34,1608858550604025859,Fri Dec 30 16:12:24 +0000 2022,1,perintah resmi cabut bijak laku batas giat masyarakat ppkm kait pandemi covid presiden joko widodo umum lalu konferensi pers istana negara jakarta jumat desember,1608858550604025859,https://pbs.twimg.com/media/FlPQUT2aUAMMEFi.jpg,,in,"Trenggalek, Indonesia",0,0,0,https://twitter.com/ElcapitanoTotti/status/1608858550604025859,1052037251775913984,ElcapitanoTotti
35,1608858507864047629,Fri Dec 30 16:12:14 +0000 2022,0,perintah resmi cabut bijak laku batas giat masyarakat ppkm kait pandemi covid presiden joko widodo umum lalu konferensi pers istana negara jakarta jumat desember,1608858507864047629,https://pbs.twimg.com/media/FlPQR01acAASov2.jpg,,in,,0,0,0,https://twitter.com/Mockingjacks_/status/1608858507864047629,609020935,Mockingjacks_
36,1608857847734968323,Fri Dec 30 16:09:36 +0000 2022,5,perintah bakal tetap guna aplikasi pedulilindungi meski bijak ppkm cabut apa fungsi,1608857847734968323,,,in,,0,0,1,https://twitter.com/detikcom/status/1608857847734968323,69183155,detikcom
37,1608857147538046976,Fri Dec 30 16:06:49 +0000 2022,0,perppu ciptaker kalo kata gue bijak tolol tutup tahun,1608857147538046976,,,in,"Jakarta Selatan, DKI Jakarta",0,2,0,https://twitter.com/auliamtrs/status/1608857147538046976,1415206028,auliamtrs
38,1608856619101859840,Fri Dec 30 16:04:43 +0000 2022,2,presiden jokowi resmi cabut bijak ppkm lengkap,1608856619101859840,,,in,"Kuningan, Indonesia",0,0,0,https://twitter.com/BantengKuningan/status/1608856619101859840,1303334872878993410,BantengKuningan
