"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1608975983096528897","Fri Dec 30 23:59:02 +0000 2022","0","Inmendagri itu terbit menyusul pencabutan kebijakan pemberlakuan pembatasan kegiatan masyarakat (PPKM) oleh Presiden. https://t.co/twpbWXFLOs","1608975983096528897","","","in","Indonesia","0","0","0","https://twitter.com/tauberitamedia/status/1608975983096528897","1520998271161831424","tauberitamedia"
"1608975761289121792","Fri Dec 30 23:58:09 +0000 2022","2","Kemarin kebijakan PPKM dicabut hingga sistem pemilu https://t.co/PdRCt20iNq","1608975761289121792","","","in","NKRI","0","0","1","https://twitter.com/antaranews/status/1608975761289121792","18071520","antaranews"
"1608975421181431808","Fri Dec 30 23:56:48 +0000 2022","8","Kebijakan yg absurd... Gak ada feel kah bahwa dengan begitu itu artinya sdh melakukan diskriminasi rakyatnya sendiri?","1608975421181431808","","","in","","0","0","2","https://twitter.com/taufik_q/status/1608975421181431808","175752154","taufik_q"
"1608975087327117313","Fri Dec 30 23:55:28 +0000 2022","26","Presiden Jokowi telah mengumumkan pencabutan kebijakan PPKM. Jokowi mengatakan tak ada lagi pembatasan kerumunan dan pergerakan masyarakat terkait Corona. https://t.co/bNbMwyGpFO","1608975087327117313","","","in","","1","7","16","https://twitter.com/detikcom/status/1608975087327117313","69183155","detikcom"
"1608974724490752002","Fri Dec 30 23:54:02 +0000 2022","0","Presiden Jokowi telah mengumumkan pencabutan kebijakan PPKM. Jokowi mengatakan tak ada lagi pembatasan kerumunan dan pergerakan masyarakat terkait Corona. https://t.co/hLz9bjZaRP","1608974724490752002","","","in","Indonesia","0","0","0","https://twitter.com/tauberitamedia/status/1608974724490752002","1520998271161831424","tauberitamedia"
"1608973111365611520","Fri Dec 30 23:47:37 +0000 2022","0","Indikator Tindakan/Kebijakan Pemerintah SUDAH TEPAT jika PeKaeS ngebacot asal bunyi ","1608973111365611520","","","in","","0","0","0","https://twitter.com/Adv_ERAT/status/1608973111365611520","609620003","Adv_ERAT"
"1608972713678495744","Fri Dec 30 23:46:02 +0000 2022","0","Pemerintah resmi mencabut kebijakan pemberlakuan pembatasan kegiatan masyarakat (PPKM) pada Jumat (29/12/2022). https://t.co/jU3NTVIqR9","1608972713678495744","","","in","Indonesia","0","0","0","https://twitter.com/tauberitamedia/status/1608972713678495744","1520998271161831424","tauberitamedia"
"1608972593704636416","Fri Dec 30 23:45:34 +0000 2022","15","Pemerintah resmi mencabut kebijakan pemberlakuan pembatasan kegiatan masyarakat (PPKM) pada Jumat (29/12/2022). https://t.co/1QMnaYK2Ju","1608972593704636416","","","in","Jakarta","0","0","1","https://twitter.com/kompascom/status/1608972593704636416","23343960","kompascom"
"1608970193824542720","Fri Dec 30 23:36:02 +0000 2022","0","Kebijakan car free night ini diterapkan menyusul akan didirikan tujuh panggung hiburan di sepanjang Jalan Sudirman-Thamrin. https://t.co/FJ2NMpOKJ9","1608970193824542720","","","in","Indonesia","0","0","0","https://twitter.com/tauberitamedia/status/1608970193824542720","1520998271161831424","tauberitamedia"
"1608970094797025284","Fri Dec 30 23:35:38 +0000 2022","0","mau ngilangin subsidi aja malu2.. pake kasih kebijakan muter2 gajelas pula.","1608970094797025284","","","in","Bogoro, Nigeria","0","0","1","https://twitter.com/Pak_Dimas/status/1608970094797025284","65870480","Pak_Dimas"
"1608969696312979456","Fri Dec 30 23:34:03 +0000 2022","0","Berikut Alasan Presiden Jokowi Mencabut Kebijakan Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) https://t.co/qvSntYRdwh","1608969696312979456","","","in","Rangkasbitung, Indonesia","0","0","0","https://twitter.com/portal_lebak/status/1608969696312979456","1349394262136246273","portal_lebak"
"1608969053665918976","Fri Dec 30 23:31:30 +0000 2022","0","Presiden Jokowi Resmi Cabut Kebijakan PPKM https://t.co/h1yaTY5PdJ #PDIPerjuangan #PDIPerjuanganJabar #PDIPerjuanganPurwakarta #SolidBergerak","1608969053665918976","","","in","Indonesia","0","0","0","https://twitter.com/BantengGirl/status/1608969053665918976","1275701898537041920","BantengGirl"
"1608967933623160833","Fri Dec 30 23:27:03 +0000 2022","1","Situasi Pandemi COVID-19 terkendali Pemerintah cabut kebijakan PPKM di Indonesia https://t.co/ugXWwiuxre","1608967933623160833","","","in","NKRI","0","0","0","https://twitter.com/antaranews/status/1608967933623160833","18071520","antaranews"
"1608964158862786562","Fri Dec 30 23:12:03 +0000 2022","0","Presiden Jokowi Resmi Cabut Kebijakan PPKM https://t.co/qDZud4Bni0 #BandarLampung #Sumatra","1608964158862786562","","","in","","0","0","0","https://twitter.com/Kabar_sigercom/status/1608964158862786562","1379763252494618624","Kabar_sigercom"
