"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1277736879924768768","Mon Jun 29 22:53:06 +0000 2020","0","Jika pendidikan adalah untuk mencerdaskan anak anak bangsa dan sekolah bukankah tempat untuk membentuk old boys club maka kebijakan dinas pendidikan saat ini adalah konyol sekaligus dungu","1277736879924768768","","","in","Amsterdam, The Netherlands","0","0","0","https://twitter.com/nathamich/status/1277736879924768768","181028247","nathamich"
"1277736416789684224","Mon Jun 29 22:51:15 +0000 2020","0","Jika tujuan pendidikan untuk mencerdaskan dan sekolah adalah wadah untuk menampung talent talent terbaik anak bangsa.. maka kebijakan membentuk old boys club adalah konyol sekaligus dungu","1277736416789684224","","","in","Amsterdam, The Netherlands","0","0","0","https://twitter.com/nathamich/status/1277736416789684224","181028247","nathamich"
"1277646779861762048","Mon Jun 29 16:55:04 +0000 2020","0","Tadi siang sejenak tanpa disengaja menonton berita. Isinya seputar zonasi anak sekolah dan demo terkait kebijakan pemerintah di bidang pendidikan dalam hal penerimaan anak sekolah. Satu sisi miris melihat kondisi tsb. Rakyat makin bnyk ktersdiaan sekolah tidak mencukupi bahkan.","1277646779861762048","","","in","","0","1","0","https://twitter.com/silenceofo/status/1277646779861762048","1148444949416824832","silenceofo"
"1277618672228397062","Mon Jun 29 15:03:23 +0000 2020","0","gue pengen denger kebijakan knp dibuat dr sudut pandang psikologi pendidikan psikologi anak tenaga pengajar orang tua dan anaknya. Coba dijelasin ini gimana.","1277618672228397062","","","in","+62","0","0","0","https://twitter.com/putriripuke/status/1277618672228397062","257837415","putriripuke"
"1277568267628863488","Mon Jun 29 11:43:05 +0000 2020","0","Akhirnya paham konspirasi busuk dagang pendidikan di Jakarta yang buat kebijakan usia jadi patokan... https://t.co/m8uWc5uy2k","1277568267628863488","https://pbs.twimg.com/tweet_video_thumb/EbrVjsAVcAIzpFX.jpg","","in","","0","0","1","https://twitter.com/SaintChyril/status/1277568267628863488","179786090","SaintChyril"
"1277400379492188160","Mon Jun 29 00:35:58 +0000 2020","0","Pendidikan Indonesia sedang dibidik oleh gerakan panislamisme. Cara menangkalnya perbaikan agresif Sistem birokrasi pendidikan dan kurikulum pengembangan fungsi pesantren dn lembaga pendidikan basis agama lainnya. Kebijakan Nadiem sama sekali tidak menyentuh problem tersebut.","1277400379492188160","","","in","Indonesia-West Java  🇲🇨","0","0","0","https://twitter.com/alfiarnimakhtaf/status/1277400379492188160","79701814","alfiarnimakhtaf"
"1277256200732545026","Sun Jun 28 15:03:03 +0000 2020","10","KPAI: Kebijakan Zonasi Sekolah Beri Kesetaraan Pendidikan Anak https://t.co/CVnKZ28Krg","1277256200732545026","","","in","Indonesia","1","3","3","https://twitter.com/tempodotco/status/1277256200732545026","18129942","tempodotco"
"1277218836849127425","Sun Jun 28 12:34:34 +0000 2020","11","Kesehatan dan pendidikan sejatinya kewajiban negara. Tapi faktanya Negara abai soal kewajibannya itu. Kita dipaksa untuk sehat sementara lingkungan (bagian kebijakan negara) membuat kita sakit...Orientasi bisnis selalu jadi poin pikiran negara.","1277218836849127425","","","in","Kota Kendari, Sulawesi Tenggar","0","0","0","https://twitter.com/ld_pandi/status/1277218836849127425","3235018752","ld_pandi"
"1277195692981641217","Sun Jun 28 11:02:37 +0000 2020","0","Pendidikan makin lama makin terpuruk masa ade gw dari kelas 1 sampe kelas 6 selalu rangking les tiap hari sampe malem gak bisa masuk negeri mendikbud gimana kalo bikin kebijakan jangan ngada ngada","1277195692981641217","","","in","","0","0","0","https://twitter.com/KikiRifky48/status/1277195692981641217","1597209253","KikiRifky48"
"1277186914303475713","Sun Jun 28 10:27:44 +0000 2020","0","Kebijakan Ditjen Pajak sisa dana abadi pendidikan tak kena PPh https://t.co/XfjCKiP4YV https://t.co/p3EhALTBn8","1277186914303475713","https://pbs.twimg.com/media/Ebl6uqvUEAUPcOy.png","","in","Indonesia","0","0","0","https://twitter.com/alineadotid/status/1277186914303475713","354168059","alineadotid"
